package,vendor,category,capability,support,manual_url
Partek Flow,Partek / Illumina,NGS core,Demultiplexing,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,NGS core,Raw read QC ,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,NGS core,Trimming,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,NGS core,Read mapping to reference,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,NGS core,De novo assembly,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,NGS core,Long-read support,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,DNA variation,Variant calling (germline/somatic/other),Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,DNA variation,Variant annotation / consequence prediction,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Transcriptomics,Bulk RNA-seq (counts/DE workflows),Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Transcriptomics,Single-cell RNA-seq,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Transcriptomics,CITE-seq / multi-omic single-cell,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Transcriptomics,miRNA-seq,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Epigenomics,ChIP-seq,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Epigenomics,ATAC-seq,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Epigenomics,Bisulfite / methylation-seq,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Microbial,Metagenomics,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Biological interpretation,Pathway analysis / enrichment,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Biological interpretation,Gene set enrichment (GSEA),Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Biological interpretation,Gene ontology (GO) browsing,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Visualization,Genome browser,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Visualization,PCA / dimensionality reduction,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Visualization,t-SNE / embedding plots,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Visualization,Heatmaps + clustering,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Visualization,Volcano plots,Yes,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Machine learning,Built-in ML classification (SVM/kNN/trees/boosting),No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Sequence & molecular biology,Multiple sequence alignment,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Sequence & molecular biology,Phylogenetic trees,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Sequence & molecular biology,Primer design,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Sequence & molecular biology,Cloning tools,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Sequence & molecular biology,CRISPR tools,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Sequence & molecular biology,BLAST,No,https://help.partek.illumina.com/partek-flow/user-manual
Partek Flow,Partek / Illumina,Operational,Workflow/pipeline builder,Yes,https://help.partek.illumina.com/partek-flow/user-manual
